stationName,Province,Climate.ID,Station.ID,WMO.ID,TC.ID,Latitude..Decimal.Degrees.,Longitude..Decimal.Degrees.,Latitude,Longitude,Elevation..m.,First.Year,Last.Year,HLY.First.Year,HLY.Last.Year,DLY.First.Year,DLY.Last.Year,MLY.First.Year,MLY.Last.Year
DISCOVERY ISLAND,BRITISH COLUMBIA,1012475,27226,71031,WDR,48.42,-123.23,482528590,-1231332519,18.93,1997,2023,1997,2020,1997,2023,1998,2005
ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,71798,WPF,48.43,-123.44,482555100,-1232621600,3,1957,2023,1980,2020,1957,2023,1957,2005
KELP REEFS,BRITISH COLUMBIA,1013998,10853,NA,WZO,48.55,-123.24,483251700,-1231413320,NA,1997,2023,1997,2020,2018,2023,NA,NA
MALAHAT,BRITISH COLUMBIA,1014818,10730,NA,,48.58,-123.58,483500000,-1233500000,275,1991,1992,1991,1992,NA,NA,NA,NA
MALAHAT,BRITISH COLUMBIA,1014820,65,71774,WKH,48.57,-123.53,483429700,-1233147700,365.8,1920,2023,1980,2020,1920,2023,1920,2005
NORTH COWICHAN,BRITISH COLUMBIA,1015630,46728,71927,VOO,48.82,-123.72,484927010,-1234308009,44.8,2007,2023,2007,2020,2007,2023,NA,NA
RACE ROCKS,BRITISH COLUMBIA,1016640,10943,71778,WQK,48.3,-123.53,481752743,-1233153186,7.4,1994,2023,1994,2020,1995,2023,NA,NA
SATURNA CAPMON CS,BRITISH COLUMBIA,1017099,6810,71914,VTS,48.78,-123.13,484630080,-1230741080,178,1991,2023,1991,2020,1991,2023,1991,2007
SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,71473,WEZ,48.78,-123.04,484702067,-1230241082,24.4,1980,2023,1980,2020,1980,2023,1980,2007
SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,71780,WSP,48.38,-123.92,482236100,-1235515700,6.9,1992,2023,1992,2020,1992,2023,1992,2007
TRIAL ISLAND,BRITISH COLUMBIA,1018238,27290,71034,WIN,48.4,-123.3,482342200,-1231817670,23,1997,1998,1997,1998,1998,1998,NA,NA
VICTORIA UNIVERSITY CS,BRITISH COLUMBIA,1018598,6812,71783,WYJ,48.46,-123.3,482725200,-1231816600,60.1,1992,2023,1992,2020,1992,2023,1992,2007
VICTORIA GONZALES HTS,BRITISH COLUMBIA,1018610,113,NA,WLM,48.41,-123.33,482447061,-1231930017,69.5,1898,2004,1980,2004,1898,2004,1898,2004
VICTORIA GONZALES CS,BRITISH COLUMBIA,1018611,114,71200,WLM,48.41,-123.32,482447896,-1231929192,61.04,1972,2023,1980,2020,1973,2023,1972,2007
